start_page,user,ts,depth,duration,transmit,type
336393223,57950607,2009-06-08 12:22:16.880899,23,4216,502196162,2
411926941,38444168,2011-10-23 09:29:31.225210,25,5645,685971814,2
990407851,77745890,2007-05-06 22:19:54.485841,13,3985,760534011,4
416450591,94907228,2007-07-04 01:05:45.251350,4,4478,136659838,4
147039815,4915922,2005-10-17 08:38:30.895960,27,1959,957879047,3
840449613,59549642,2006-01-19 12:52:43.247823,7,6200,513700963,4
488881197,517892,2006-02-06 21:35:35.246615,36,9827,855889908,4
954648859,42200458,2015-01-14 02:06:16.999464,7,4783,293209192,3
231856931,86039871,2009-05-01 14:40:31.806863,23,9176,117576375,3
151167490,86980268,2012-07-03 01:51:28.136401,30,2058,565759485,2
133397956,57599075,2007-03-27 17:10:16.601688,32,2766,873473743,3
343948338,95501632,2010-09-16 07:49:43.727370,6,1881,697285673,1
346898209,42962748,2005-07-18 05:05:48.272601,8,3765,887881924,2
751781934,28886105,2011-05-28 18:25:42.118162,9,3951,12322182,3
322564281,89384335,2010-04-17 11:58:54.127892,18,750,508459104,2
174143195,64513068,2007-01-24 04:06:17.428024,43,3431,703547737,2
515022979,84492274,2014-07-02 15:22:02.054264,25,5675,319965027,2
670871105,37242803,2006-05-09 12:38:04.393020,34,1682,143254007,2
787154999,6308305,2008-05-30 07:11:57.900182,3,8934,71711678,3
508337394,58740132,2005-01-17 06:31:17.860217,4,4356,702115435,3
354479763,453111,2005-02-18 22:55:05.697308,5,4103,786768461,1
40567508,96306550,2006-02-14 18:19:20.810471,16,9519,262684741,1
555418339,13480164,2005-06-21 15:47:05.500484,6,4145,465012647,3
978657449,80700828,2006-05-08 11:21:19.817182,28,1863,345215007,1
796101104,99199284,2005-01-18 15:49:57.055039,18,3232,230877903,2
837850050,51830571,2005-02-17 12:34:40.549255,23,5290,645475180,4
92836717,18334529,2012-05-26 03:32:06.903655,37,7864,347616017,3
749693474,36793378,2008-09-17 00:07:47.940686,39,4688,483025969,4
35285640,89979491,2005-06-15 11:33:34.340328,31,8471,993048681,1
659982142,31819314,2007-01-04 01:43:13.950409,42,9496,67032362,1
618530069,23790321,2005-01-30 04:05:09.658082,28,3592,16905979,3
634066637,74765827,2011-02-10 13:56:34.507701,1,1393,493218108,3
339474628,26517178,2011-06-09 19:45:44.212808,29,6701,914762597,3
403419300,66444876,2007-09-10 12:26:57.354535,48,8374,916492453,4
743024817,47830218,2012-12-08 07:46:33.750108,33,1845,670341298,1
233352695,23447506,2008-01-12 17:24:28.249442,12,5014,873555061,2
508779689,1338010,2005-09-12 00:00:04.119736,41,8997,467419164,4
407702685,87576936,2015-08-05 12:18:24.718405,27,8156,967757353,3
280314757,17310041,2013-10-24 19:27:41.785121,17,645,594872498,2
44203573,58784644,2006-04-05 05:13:03.179713,28,7360,852761231,2
185757715,35705139,2010-11-28 21:38:17.064147,4,1432,454242200,4
971553803,77813558,2009-01-30 15:42:35.909530,37,1502,976458037,1
145488781,86007036,2014-12-26 19:01:15.151186,29,7777,245895350,3
74024814,87316608,2005-12-07 01:01:07.660082,44,7977,789877706,2
205348337,83102672,2006-12-23 00:11:00.158831,43,2192,795238880,2
666775583,58419310,2010-08-04 11:18:55.571969,1,8803,982721393,3
585124366,50101909,2005-08-05 02:18:22.095804,22,1008,540873827,4
265736147,21766568,2013-11-29 02:03:51.197339,4,4388,369065521,3
865429284,53924527,2012-07-09 22:46:28.099986,30,3045,793824306,4
374665983,74699230,2010-04-16 19:38:43.337906,31,1034,890033927,4
230761491,78476051,2007-10-16 04:16:01.563835,41,4243,458606841,2
478059959,22055160,2015-07-03 03:55:52.830101,12,3090,245015804,4
335790697,97318290,2008-09-01 06:04:38.508299,46,7592,578490912,3
331944653,92472500,2011-05-14 18:59:34.724890,2,1518,536890189,1
625495104,31705888,2010-10-22 06:17:53.250603,47,438,828137980,1
122607098,12525743,2007-01-25 00:17:29.697339,15,9475,324907959,2
865806505,76674506,2007-06-21 04:46:56.823587,48,361,333957578,3
45796766,55166966,2013-11-29 02:14:43.252786,45,5626,81184837,4
173051246,76149855,2008-06-05 02:07:48.674516,27,2728,420535893,2
607913501,15616858,2015-11-10 03:21:22.711393,41,6419,551048726,4
922025681,19273498,2012-08-06 08:59:29.269133,40,9813,343081289,3
587109280,6753561,2010-09-19 06:18:31.435896,4,9958,523343199,3
295180231,45456634,2005-07-25 10:45:10.189811,23,4645,420200599,2
63908741,19479353,2005-01-11 21:28:36.676908,26,3041,333038769,1
821129600,33552747,2007-10-14 06:20:16.077474,1,461,510000184,4
314506505,4436504,2014-02-23 17:31:00.882021,19,3205,84503726,1
33734649,47786040,2011-12-20 01:43:24.172730,4,2213,901047696,3
699439896,99129486,2015-12-28 11:54:58.748499,24,4045,353653268,4
792477334,70884945,2006-04-05 14:43:51.505716,18,1485,78784061,1
448504787,97062505,2009-06-28 04:35:01.931946,28,6573,374761954,1
319640219,63981720,2006-07-05 09:06:41.233435,42,6862,764832117,4
235866768,44963434,2012-05-01 08:41:37.273879,37,8954,163926939,4
79231027,10238931,2011-10-02 23:40:30.021963,13,7528,249618647,3
574267321,38677535,2008-02-25 05:17:29.840034,16,3002,497749790,1
124618713,33881095,2007-08-03 23:02:12.765343,22,1673,849433994,4
488342648,87325307,2006-04-25 07:20:28.016925,45,5110,959386871,1
59426131,33031611,2015-01-19 03:09:23.618100,20,8073,243073068,2
816309205,90363402,2006-12-30 02:17:35.684010,12,6315,718849596,1
1991075,9762449,2007-12-02 14:14:37.233205,12,5782,988299607,2
513323128,36006747,2008-04-22 03:28:53.314346,45,7524,654257691,4
29268209,14453459,2006-12-01 14:53:48.496909,31,9768,845738147,2
747766500,22361753,2007-05-22 05:38:54.066558,42,4353,886927145,3
466014204,16252205,2010-12-26 05:32:56.551429,34,376,457301244,3
34538169,92153371,2015-12-29 17:45:10.640689,14,6773,477680230,2
278690565,36694902,2014-06-15 21:46:19.758329,39,5770,908288837,3
105857718,54430765,2011-02-07 04:16:11.380022,30,8213,967013481,3
29695490,8349495,2006-09-20 02:47:52.453374,44,4154,476130279,1
766362582,32895635,2014-05-10 09:14:24.625545,11,6196,614032763,3
80003019,19693734,2011-08-23 17:10:07.304266,32,1493,221476321,4
643760356,17879997,2010-07-26 20:21:39.768623,14,4389,982298547,1
948632665,57709476,2014-08-01 11:14:46.294810,13,3119,929549222,4
703097427,92921136,2005-11-30 18:10:16.405043,19,5589,446074861,4
394825257,1559583,2005-08-18 11:11:53.155699,15,914,907749363,3
686251052,78953163,2015-08-20 15:29:55.308446,42,2628,26876473,2
559896342,83908640,2008-01-07 07:52:14.442601,42,5212,308195214,2
818670154,33365464,2014-04-06 01:35:50.521442,11,5351,282861088,3
182524982,64619137,2006-02-05 22:43:43.395924,31,3624,100951459,1
672349254,67233469,2006-04-30 00:30:22.926529,6,4855,808852826,1
714622699,91976722,2007-07-18 09:34:04.478678,8,3150,178122058,3
618133915,47618973,2005-05-22 08:30:18.987144,49,9454,917180358,2
259188964,74355999,2015-12-23 17:42:46.331555,10,6849,563976127,2
974098465,61549178,2010-04-12 01:16:57.971854,41,1191,429936248,1
339406760,87225473,2011-12-15 01:05:33.494054,17,3001,89939592,4
513063445,18440017,2015-08-05 04:45:54.018654,6,6205,352443397,1
246870216,69257470,2011-01-08 03:39:32.766726,32,5157,883079304,3
55956375,55935324,2006-09-13 07:09:19.700918,17,609,385498053,1
344267487,6087627,2006-07-26 21:32:48.915324,7,715,110601385,2
864391452,38257733,2011-12-28 22:49:17.073269,29,443,770644060,3
338158898,8854062,2013-06-14 16:33:13.372127,39,457,957988958,4
362381446,23990829,2014-01-30 05:09:32.084005,48,9358,476804070,4
161258995,53796989,2009-09-25 08:53:19.011595,18,5328,312743803,4
298240682,19789154,2013-08-17 19:17:58.265430,17,8715,549494876,3
520162704,10455523,2007-02-14 05:40:48.369150,38,1190,389072607,4
358405762,34922271,2010-04-09 09:51:25.598237,16,4831,210053180,2
95809475,13142814,2013-09-01 04:15:05.240799,26,2655,69984175,4
235889207,63561020,2015-05-29 19:37:00.673969,30,411,385440107,3
174004337,23112353,2005-06-06 03:59:36.499214,27,6556,138404003,1
640450792,60153718,2010-01-06 02:07:43.393643,41,472,53938864,2
753198344,9814759,2006-12-23 23:22:19.565554,40,3160,878793374,3
987827027,14738344,2013-11-09 13:42:24.549289,20,6333,503599291,3
122767106,22031175,2013-11-08 23:16:14.215111,48,6216,252922937,2
420346835,7952517,2014-12-03 10:18:33.420474,19,6390,441303152,2
167108137,73105775,2013-12-22 06:21:42.160981,46,2653,848668956,1
899058076,41203653,2012-01-31 20:09:05.482565,22,8350,58324772,2
788492105,15790752,2009-02-20 15:29:12.586255,17,8431,90930461,1
454675400,86845472,2015-06-12 07:36:09.278643,24,4040,989875422,3
308670012,48764888,2007-06-24 16:09:26.521570,38,840,613981836,4
188290182,11599610,2007-01-19 13:01:54.842184,23,2939,537965987,3
313326319,5485370,2006-03-05 18:45:01.506993,27,9151,264137451,2
215540174,62516343,2015-12-31 23:44:30.755791,1,3404,997848452,2
29503866,35393710,2014-08-19 04:47:20.105679,23,2819,217535138,4
796439682,47380239,2015-11-13 08:18:31.517306,33,2465,369595905,3
870801683,47399194,2008-03-02 17:57:57.776175,41,9054,204716025,2
224459779,75040350,2009-12-29 13:02:36.336761,3,5690,733195369,1
318247576,15833236,2009-03-12 16:53:39.159192,35,3726,250202821,4
298378838,76796267,2007-07-17 01:21:38.452024,3,353,907799343,1
932226121,80257697,2008-07-08 07:28:17.923444,16,6352,410104722,1
753070187,2507033,2008-01-05 19:23:34.065800,40,1709,38243944,1
13347121,11835468,2005-04-11 05:50:56.986641,41,7077,792558726,3
32742666,42197078,2007-01-28 23:47:10.538481,5,6887,27266238,1
422528478,14660076,2010-07-31 10:32:43.078657,15,8593,120695091,4
222272236,6832006,2011-11-01 15:25:18.021113,48,3968,502387513,2
13745072,13385232,2009-07-03 02:24:02.198205,11,5163,71421227,2
428976271,91023118,2011-11-28 21:17:27.573130,36,3297,885770615,4
923025291,62480062,2009-01-15 02:19:50.291503,2,3921,643811211,4
177526035,70490940,2011-07-22 17:28:22.459242,12,7606,318714828,2
978182790,88217827,2010-06-18 20:44:22.003474,40,7482,625611392,4
792498659,17420414,2007-09-17 03:55:47.286247,16,1289,916546278,3
700162693,64031006,2015-06-05 02:47:46.697968,1,1976,73319801,3
984217780,56491021,2014-05-19 12:45:12.589768,5,6093,908779611,1
623521535,64887977,2009-05-31 17:27:21.955435,10,9985,383510624,3
524646301,35236263,2014-11-29 18:57:49.875621,5,7669,780296402,1
151467042,42119554,2006-01-09 14:51:55.959896,1,8432,766824056,1
930315756,90754676,2014-05-31 19:22:31.746527,28,1440,83033669,4
525779286,66478087,2006-06-12 08:18:32.482438,16,6431,299979852,1
782056196,79150423,2012-07-22 21:15:40.986332,28,7439,45360508,4
866713461,44952745,2007-10-24 15:04:22.794847,35,3987,542677724,4
810600087,78328366,2007-02-16 17:49:04.021889,42,9127,685812931,2
599603497,49276152,2014-05-26 16:48:27.749124,18,9088,497075056,4
398556360,57452097,2014-04-03 03:20:45.790615,43,2826,344120036,2
899796203,28787246,2009-06-06 12:28:07.069236,28,5671,297527927,1
430458893,85047732,2008-05-23 09:38:09.568419,19,1670,811098764,4
604767743,38909533,2009-02-02 07:20:48.614339,6,3346,204057850,1
540382418,28015784,2011-06-20 18:46:24.111603,12,6996,873853171,4
307849913,15397789,2011-06-09 23:48:36.920433,19,4799,495538647,2
406095723,73267380,2009-01-03 10:20:22.897701,21,6223,725350511,4
899842136,52234399,2011-08-14 21:02:49.987379,37,925,780347858,1
368489139,89945782,2011-03-20 12:24:39.380259,4,880,643389224,1
554042471,87533807,2014-05-12 16:27:27.456885,49,2123,514385115,3
105519204,91045471,2007-06-06 05:07:57.526628,21,9378,459941438,1
415964145,8560878,2014-04-11 21:24:24.673399,22,2394,433192556,3
274191092,41681645,2011-09-03 14:58:36.951864,3,8059,331389338,4
645948848,58721417,2011-08-15 21:37:51.143264,39,3922,470151997,1
888756603,25174976,2014-06-11 04:41:26.310340,1,4917,746810451,2
623180786,52598200,2008-03-08 04:02:15.139561,14,7735,692439838,1
42802249,31355988,2006-06-19 16:23:46.663497,9,9654,473360905,2
93299666,95641497,2015-08-09 22:07:52.660324,28,596,762474264,4
420664541,24681349,2005-06-11 14:13:19.448570,44,9543,535205987,1
876065123,30670298,2012-11-28 04:43:12.673093,36,4225,355256848,2
545777171,58894153,2007-07-01 06:02:52.501559,25,295,756760415,1
315356576,70676855,2012-07-11 14:19:55.899429,29,9808,135174734,1
426702147,31449056,2011-12-16 05:22:49.339958,32,3886,692378964,3
644846107,84985174,2013-07-24 16:34:57.327323,18,9762,520340135,4
953000420,49133203,2008-01-23 06:00:53.831107,5,3713,965145520,1
933504749,6795816,2015-08-08 05:34:15.161477,39,4724,129404872,3
616991810,79860677,2006-04-01 07:25:36.606555,16,1390,892519383,3
12007689,23684570,2009-12-29 20:52:49.451503,34,543,527107501,2
610691314,54612165,2005-01-09 05:15:35.574973,31,6636,747833912,1
516693932,13963502,2013-05-25 00:09:13.281071,38,2460,746307357,3
74970843,66191368,2013-03-27 14:24:00.853831,24,4595,202948980,3
12823309,5871246,2007-08-02 00:16:10.817380,37,7051,139529099,3
76674423,50127892,2015-04-23 18:56:15.947667,10,9056,699319876,2
339079077,87408377,2015-04-21 14:43:10.649372,3,3203,701000229,1
490429553,44105627,2014-02-15 19:33:19.099469,46,9189,780835698,2
233891032,14471547,2015-03-11 22:44:45.640146,23,6944,308854508,3
752276744,73858851,2008-05-15 12:50:13.023229,43,1641,60756044,3
501300774,37222215,2015-08-13 04:39:39.182510,34,1516,365921650,2
889125655,92573029,2010-08-14 02:35:05.078833,5,8095,736132344,3
55552608,87142225,2008-05-28 21:15:24.327765,42,8252,269673316,4
557390445,15555806,2009-11-05 19:05:08.584326,14,7454,562939373,4
956407935,64582577,2009-06-11 13:01:28.923564,31,8524,385421596,2
928899518,92452872,2005-08-27 09:57:07.990492,23,8148,716932389,2
675408581,65433829,2009-03-23 08:01:10.817129,43,1869,3013429,1
545452168,56223722,2007-06-06 11:20:55.789742,31,2042,195159793,2
731282515,45138272,2006-01-16 19:18:03.900609,3,7946,226371628,1
413457261,6332314,2008-06-30 06:28:44.263942,34,6639,449573765,2
184796447,82902138,2007-04-08 05:55:47.962571,11,4982,694813581,4
406340158,79635429,2006-05-22 01:29:07.595323,10,1903,652712000,1
469534357,14933756,2014-05-08 19:11:01.654144,33,2308,861643300,4
860423795,10327588,2013-07-31 18:53:26.541501,29,2907,244528309,3
202873139,11213382,2014-11-17 12:59:44.481193,32,7568,102344946,2
316348272,45612694,2012-01-03 14:53:28.645863,20,8310,325389064,1
393092815,52232955,2007-03-21 23:06:36.423607,26,2721,171012902,3
890998235,22987683,2005-04-26 07:53:42.993518,9,2260,354330717,1
916505111,52397551,2009-03-30 02:39:02.459651,14,9742,836811287,4
762855414,75207036,2008-01-05 06:49:41.588334,33,297,899684642,2
79131496,37906320,2008-01-08 17:07:41.309330,46,1282,873676392,2
963522515,64483526,2008-03-18 18:26:51.177553,9,890,22447991,1
550349592,19173302,2012-04-21 23:30:50.585461,23,3259,497838922,4
281538776,89706175,2013-10-22 23:31:50.501573,6,7039,384174523,2
799738457,50963806,2014-06-04 23:11:21.522101,25,7952,768642788,3
993304326,79505858,2014-01-16 11:11:47.296026,27,1387,567127772,3
258053825,75814587,2008-02-23 15:34:25.799977,18,8074,448901300,3
409779183,29935685,2012-08-18 15:43:52.383813,43,3471,914267770,1
806618601,94046888,2013-04-02 12:24:29.197471,43,8931,584996741,2
642459397,67602572,2007-06-05 09:23:09.782041,27,8065,739284391,3
853333737,4354211,2013-03-12 18:41:19.009011,17,7356,574746044,3
503399636,23927362,2010-08-30 01:31:47.736077,42,8937,565756817,2
367230550,47109968,2013-10-30 08:49:20.962268,17,5554,67077716,3
93744336,92237505,2005-06-14 16:36:31.805580,21,753,992919413,4
947392532,45767622,2005-03-17 14:41:15.279601,29,5916,889900693,2
118542002,23888132,2011-05-02 14:08:48.718394,36,2729,517239421,1
550894636,88949381,2011-07-08 02:11:14.779645,23,7035,632041070,2
425465746,66112059,2007-12-19 07:58:28.109344,4,1997,118755977,4
616960356,60137687,2005-09-17 11:41:33.392515,35,6398,966873766,2
495088231,14742549,2010-12-15 10:10:16.842336,45,8992,365605167,1
904687363,59468876,2014-07-16 16:59:14.951393,49,7005,531339940,3
372921720,81180768,2012-04-14 16:11:01.418296,2,8924,725526491,4
564574044,59136633,2005-05-31 05:47:28.893316,21,5210,584133720,3
244824901,54739840,2013-11-16 14:10:10.276415,11,6938,900918825,3
454335119,30183176,2006-02-23 08:16:24.546886,24,8572,241602140,2
173354968,80798210,2010-12-11 18:03:17.173673,42,3233,541344905,3
649044708,98519333,2008-08-02 00:46:55.784034,14,8844,343083761,2
132424688,96418758,2007-03-28 16:36:34.099991,39,2915,859867817,2
599518168,67858329,2005-06-18 00:29:05.184906,12,1122,647462509,2
96400075,6429018,2005-06-25 03:13:02.258503,4,9318,176496394,1
506801317,55223920,2005-12-25 22:30:51.517938,34,6923,296463971,2
251125227,3318663,2014-07-09 10:06:26.008559,39,169,496995953,3
481359162,73999351,2009-10-07 01:58:28.891338,18,6289,329008519,4
405505065,57210058,2006-01-23 09:28:33.634792,26,6952,212659435,1
731318569,94793742,2014-07-14 16:17:28.098558,42,7267,750514916,2
673685004,28501485,2011-01-20 19:42:23.034203,37,7810,983436642,2
579144092,19751593,2015-01-27 02:35:16.964491,6,3157,568950540,2
45072446,16081542,2015-02-27 18:48:31.341999,39,2565,968922834,4
676649774,54938955,2005-04-05 19:55:35.447337,14,4067,767439601,3
74386880,9479494,2014-09-12 13:48:42.036011,49,7584,236563110,2
267623250,20069784,2006-07-03 01:47:59.852687,29,1825,96741144,4
163125970,86106435,2014-10-23 23:40:31.860735,16,8045,550490434,1
996911758,21669603,2010-01-19 12:04:36.116364,22,3566,648372593,3
431442761,23247686,2009-09-01 00:20:02.213898,5,7804,541856502,3
859164830,6048227,2015-02-05 13:47:00.617218,25,834,77742029,3
726686666,72862403,2015-12-17 14:28:54.504958,39,250,279822070,3
114179563,35003871,2005-01-03 05:37:57.958129,13,6491,821621665,3
172280792,68619319,2013-08-28 13:35:05.131891,23,3925,561429456,4
662804795,56985226,2015-09-01 22:38:40.496895,34,7422,144330267,1
564219874,29505511,2011-09-17 08:01:52.771426,39,3648,812252608,3
211720113,93768869,2013-06-04 00:43:20.488681,1,9482,908920885,4
844072051,58157564,2015-07-12 17:11:34.910045,28,9990,769993150,4
50541518,33659233,2006-05-31 09:55:31.453660,44,6563,857313052,1
697034668,40046906,2013-03-23 13:44:00.629716,34,8353,377547479,1
896750925,36287667,2012-06-14 19:08:27.909741,3,4533,222178035,1
589841481,83519939,2006-02-03 01:28:51.266090,28,9691,788773955,2
713118683,94992027,2012-07-10 01:26:14.242143,11,5852,684925518,4
722122312,83378311,2008-09-22 22:15:16.811725,29,5271,24692578,1
563864810,88183298,2013-04-23 19:57:32.165425,41,2726,856989409,2
862779843,6049956,2013-02-26 21:49:33.638604,33,5990,411935043,3
355946538,86120496,2012-02-15 00:40:19.798456,8,4634,512055838,3
844970356,88385282,2014-06-02 22:46:39.519555,10,4103,309108200,4
117827288,51004853,2009-03-07 11:01:34.319012,15,1494,872391057,4
459261822,56116433,2006-01-23 21:28:12.893479,45,505,489070035,3
623306889,44162716,2007-04-05 21:53:33.775876,27,6301,436011779,4
140575996,11892808,2011-06-14 07:02:12.630808,23,7240,570434083,2
145983617,71136054,2006-03-18 01:44:38.138873,36,2375,921241887,1
641659924,54279926,2014-07-09 04:46:13.410678,3,6737,969570423,2
454080010,99245995,2013-12-30 14:08:11.354021,14,4123,279707332,1
447667118,47919147,2005-08-31 23:26:14.344610,46,9933,431018852,1
76748410,10585256,2014-09-10 05:17:07.190027,29,5873,533017817,3
582416255,1167057,2009-03-08 08:29:48.030361,33,2962,220947035,4
996411595,5375345,2009-05-11 09:30:02.117014,25,5903,206515169,3
402174375,96466013,2011-05-21 19:35:36.045349,9,5971,71293568,2
738090467,39172594,2009-11-29 07:04:22.253206,20,9831,728077383,4
152558456,5807589,2010-03-29 03:47:25.360594,36,6635,696372103,3
867480330,38207206,2011-07-05 07:17:55.954151,48,7386,469450534,2
694463488,76718926,2007-12-18 00:58:14.292316,5,7006,368017247,4
513148211,12975192,2006-06-22 11:46:00.145991,16,1833,565854150,1
536327219,28204218,2009-09-26 08:37:22.276249,49,2366,985000733,2
972054482,36338725,2010-01-21 11:45:11.749778,16,6211,580982596,3
574757657,71780336,2008-06-09 09:04:01.777942,19,5686,852278325,4
231457098,69060240,2014-04-24 23:19:36.603883,20,5173,741440751,1
120951083,69502115,2005-04-13 07:47:28.095084,39,1363,684161745,2
298965720,63331628,2005-12-20 05:05:03.210096,38,9143,874893389,2
851463535,59468146,2014-02-12 22:12:54.052676,8,7450,905383637,4
265217188,79836379,2015-06-26 19:50:31.184536,15,7582,344267609,4
47722775,98736172,2015-08-06 09:16:36.612170,29,4449,561955926,2
142484184,64299341,2007-10-13 02:36:19.794642,3,3794,8320990,1
730890434,12717727,2014-06-02 12:56:02.030045,13,6750,895257401,1
945387928,63100036,2010-01-04 18:56:07.751452,42,6132,65771201,4
217459671,65590724,2014-09-11 02:57:03.845202,4,9936,704260153,2
557387361,76287553,2011-05-08 19:07:36.040334,22,1334,993419424,4
380879747,35166993,2005-03-10 06:12:32.253053,34,3151,783837214,3
118876631,80306038,2006-05-12 09:54:47.552432,10,5329,868891988,3
574980651,87984428,2012-12-22 02:45:18.997552,35,7834,333992138,2
985966424,68384895,2008-11-19 23:49:10.654716,34,4413,13539380,2
553606290,23660725,2013-10-24 12:04:28.895435,42,7315,517659973,1
68910929,60934647,2005-06-17 17:32:29.186624,42,8462,289601913,3
332906318,91835638,2009-10-22 07:43:23.971272,6,7642,575197882,1
717851218,49172418,2009-10-08 04:41:58.080235,35,1282,593937261,1
924913376,75904768,2011-04-18 02:02:47.247976,40,3848,784621562,1
108037374,95525675,2011-10-06 19:12:16.938390,48,6531,750076178,2
367122679,28783053,2009-02-28 01:35:18.914322,23,1071,11931650,4
60734183,40059751,2007-08-28 17:10:48.678209,34,879,210347115,3
890510327,3851717,2005-06-01 14:27:25.867749,48,2663,368822219,1
584715879,1552524,2005-12-25 17:29:49.207387,25,167,245518900,3
